,Area_name,STCOU,INC350209D,HSG200210D,top_2_percent,votes_dem,votes_gop,total_votes,per_dem,per_gop
0,"Adair, OK",40001,35,8156,0.00429131927415,1374.0,4753.0,6468.0,0.212430426716,0.734848484848
1,"Alfalfa, OK",40003,50,2022,0.024727992087,216.0,1931.0,2256.0,0.0957446808511,0.855939716312
2,"Atoka, OK",40005,57,5391,0.0105731775181,795.0,4068.0,5002.0,0.15893642543,0.813274690124
3,"Beaver, OK",40007,50,2192,0.0228102189781,176.0,1987.0,2237.0,0.0786767992848,0.888243182834
4,"Beckham, OK",40009,121,8163,0.0148229817469,958.0,6287.0,7529.0,0.12724133351,0.835037853633
5,"Blaine, OK",40011,74,3959,0.018691588785,711.0,2884.0,3793.0,0.187450566834,0.760348009491
6,"Bryan, OK",40013,126,16838,0.00748307399929,2793.0,10449.0,13775.0,0.20275862069,0.758548094374
7,"Caddo, OK",40015,66,10645,0.00620009394082,2418.0,6473.0,9336.0,0.258997429306,0.693337617823
8,"Canadian, OK",40017,921,42434,0.0217042937267,11666.0,39969.0,55250.0,0.211149321267,0.72342081448
9,"Carter, OK",40019,256,18635,0.0137375905554,4002.0,13751.0,18533.0,0.215939135596,0.741973776507
10,"Cherokee, OK",40021,101,17836,0.0056627046423,5455.0,9992.0,16487.0,0.330866743495,0.606053254079
11,"Choctaw, OK",40023,31,6270,0.00494417862839,1064.0,4202.0,5419.0,0.196346189334,0.775419819155
12,"Cimarron, OK",40025,7,1047,0.00668576886342,70.0,962.0,1077.0,0.0649953574745,0.893221912721
13,"Cleveland, OK",40027,2322,98306,0.0236201249161,38790.0,62469.0,109326.0,0.354810383623,0.571401130564
14,"Coal, OK",40029,6,2350,0.00255319148936,411.0,1892.0,2393.0,0.171750940242,0.790639364814
15,"Comanche, OK",40031,452,44982,0.01004846383,11439.0,19153.0,32504.0,0.35192591681,0.589250553778
16,"Cotton, OK",40033,22,2483,0.00886024969795,424.0,2054.0,2602.0,0.162951575711,0.789392774789
17,"Craig, OK",40035,62,5691,0.0108943946582,1249.0,4279.0,5778.0,0.216164762894,0.740567670474
18,"Creek, OK",40037,369,26539,0.0139040657146,5834.0,21539.0,28786.0,0.202667963593,0.748245674981
19,"Custer, OK",40039,162,10698,0.0151430173864,2102.0,7818.0,10531.0,0.199601177476,0.74237964106
20,"Delaware, OK",40041,312,17093,0.0182530860586,3306.0,11796.0,15680.0,0.210841836735,0.752295918367
21,"Dewey, OK",40043,37,1944,0.0190329218107,222.0,1964.0,2246.0,0.0988423864648,0.874443455031
22,"Ellis, OK",40045,17,1782,0.00953984287318,155.0,1610.0,1826.0,0.0848849945235,0.881708652793
23,"Garfield, OK",40047,315,24175,0.0130299896587,4391.0,15998.0,21692.0,0.20242485709,0.737506914992
24,"Garvin, OK",40049,174,11069,0.0157195771976,1852.0,8243.0,10531.0,0.175861741525,0.782736682176
25,"Grady, OK",40051,207,19892,0.0104061934446,3878.0,17293.0,22257.0,0.174237318596,0.776969043447
26,"Grant, OK",40053,22,1910,0.0115183246073,287.0,1827.0,2200.0,0.130454545455,0.830454545455
27,"Greer, OK",40055,6,2181,0.00275103163686,323.0,1482.0,1896.0,0.170358649789,0.78164556962
28,"Harmon, OK",40057,11,1112,0.00989208633094,224.0,714.0,975.0,0.229743589744,0.732307692308
29,"Harper, OK",40059,13,1527,0.00851342501637,131.0,1307.0,1485.0,0.0882154882155,0.880134680135
30,"Haskell, OK",40061,90,5044,0.0178429817605,882.0,3697.0,4734.0,0.186311787072,0.780946345585
31,"Hughes, OK",40063,39,5050,0.00772277227723,961.0,3387.0,4525.0,0.212375690608,0.748508287293
32,"Jackson, OK",40065,74,10247,0.00722162584171,1473.0,5969.0,7806.0,0.188700999231,0.764668203946
33,"Jefferson, OK",40067,17,2634,0.00645406226272,365.0,1905.0,2345.0,0.155650319829,0.81236673774
34,"Johnston, OK",40069,36,4312,0.00834879406308,782.0,3081.0,4001.0,0.195451137216,0.770057485629
35,"Kay, OK",40071,254,18577,0.0136728212306,3734.0,12168.0,16795.0,0.222328073831,0.724501339684
36,"Kingfisher, OK",40073,110,5731,0.0191938579655,783.0,5151.0,6123.0,0.127878490936,0.841254287114
37,"Kiowa, OK",40075,18,3978,0.00452488687783,766.0,2593.0,3489.0,0.21954714818,0.743192891946
38,"Latimer, OK",40077,56,4208,0.0133079847909,797.0,3094.0,4050.0,0.196790123457,0.763950617284
39,"Le Flore, OK",40079,157,18878,0.00831655895752,3245.0,13346.0,17199.0,0.188673760102,0.775975347404
40,"Lincoln, OK",40081,198,13243,0.0149512950238,2423.0,10838.0,14001.0,0.173059067209,0.774087565174
41,"Logan, OK",40083,373,15290,0.024395029431,4239.0,13613.0,18948.0,0.223717542749,0.718439940891
42,"Love, OK",40085,34,3713,0.00915701589012,735.0,2920.0,3787.0,0.194085027726,0.771058885661
43,"McClain, OK",40087,194,12891,0.0150492591731,2893.0,13151.0,16839.0,0.17180355128,0.780984619039
44,"McCurtain, OK",40089,163,12958,0.0125791017132,1799.0,8642.0,10709.0,0.167989541507,0.806984779158
45,"McIntosh, OK",40091,22,8460,0.00260047281324,2122.0,5501.0,7958.0,0.266649912038,0.691254083941
46,"Major, OK",40093,48,3109,0.0154390479254,310.0,2940.0,3399.0,0.0912032950868,0.864960282436
47,"Marshall, OK",40095,29,6338,0.00457557589145,1095.0,4202.0,5487.0,0.199562602515,0.765810096592
48,"Mayes, OK",40097,70,16008,0.0043728135932,3423.0,11550.0,15712.0,0.217858961303,0.735106924644
49,"Murray, OK",40099,23,5350,0.00429906542056,1086.0,4173.0,5525.0,0.196561085973,0.755294117647
50,"Muskogee, OK",40101,375,27054,0.0138611665558,7969.0,15029.0,24193.0,0.32939279957,0.621212747489
51,"Noble, OK",40103,19,4614,0.00411790203728,901.0,3707.0,4870.0,0.18501026694,0.761190965092
52,"Nowata, OK",40105,40,4224,0.0094696969697,742.0,3321.0,4237.0,0.175123908426,0.783809299032
53,"Okfuskee, OK",40107,24,4354,0.00551217271475,943.0,2791.0,3933.0,0.239766081871,0.709636409865
54,"Oklahoma, OK",40109,8897,287598,0.0309355419718,112661.0,141429.0,273609.0,0.411759116111,0.516901856299
55,"Okmulgee, OK",40111,128,15362,0.00833224840516,4379.0,8926.0,13924.0,0.314492961793,0.641051422005
56,"Osage, OK",40113,224,18205,0.0123043120022,5593.0,12559.0,18942.0,0.29526977088,0.663023967902
57,"Ottawa, OK",40115,110,12345,0.00891049007695,2584.0,7627.0,10686.0,0.241811716264,0.713737600599
58,"Pawnee, OK",40117,65,6486,0.0100215849522,1341.0,4716.0,6346.0,0.211314213678,0.743145288371
59,"Payne, OK",40119,348,30177,0.0115319614276,8785.0,16644.0,27749.0,0.316587985153,0.599805398393
60,"Pittsburg, OK",40121,294,18012,0.0163224516989,3704.0,12740.0,17250.0,0.214724637681,0.738550724638
61,"Pontotoc, OK",40123,318,14654,0.0217005595742,3633.0,10420.0,14814.0,0.245240988254,0.703388686378
62,"Pottawatomie, OK",40125,267,25911,0.0103045038787,6005.0,17826.0,25417.0,0.236259196601,0.701341621749
63,"Pushmataha, OK",40127,10,4809,0.00207943439384,748.0,3581.0,4483.0,0.166852554093,0.798795449476
64,"Roger Mills, OK",40129,60,1470,0.0408163265306,151.0,1546.0,1758.0,0.0858930602958,0.879408418658
65,"Rogers, OK",40131,605,31884,0.0189750345001,7895.0,30893.0,40834.0,0.193343782142,0.756550913454
66,"Seminole, OK",40133,89,9750,0.00912820512821,2067.0,5612.0,8032.0,0.25734561753,0.698705179283
67,"Sequoyah, OK",40135,148,16208,0.00913129318855,3061.0,10888.0,14437.0,0.212024658863,0.754173304703
68,"Stephens, OK",40137,263,18127,0.0145087438627,3084.0,14166.0,17886.0,0.172425360617,0.792016101979
69,"Texas, OK",40139,85,7212,0.0117859123683,855.0,4615.0,5771.0,0.148154565933,0.799688095651
70,"Tillman, OK",40141,0,3216,0.0,657.0,1944.0,2706.0,0.242793791574,0.718403547672
71,"Tulsa, OK",40143,7859,241737,0.0325105383123,87663.0,143985.0,246557.0,0.355548615533,0.583982608484
72,"Wagoner, OK",40145,544,26878,0.0202396011608,6711.0,22967.0,31246.0,0.214779491775,0.735038084875
73,"Washington, OK",40147,562,21036,0.0267161057235,5047.0,15810.0,22208.0,0.227260446686,0.711905619597
74,"Washita, OK",40149,73,4599,0.015873015873,588.0,3851.0,4628.0,0.127052722558,0.832108902334
75,"Woods, OK",40151,64,3533,0.0181149165016,521.0,2945.0,3665.0,0.142155525239,0.803547066849
76,"Woodward, OK",40153,175,7654,0.0228638620329,871.0,6329.0,7573.0,0.115013865047,0.835732206523
